Gene symbol,06h [339],06h [340],06h [341],12h [342],12h [343],12h [344],24h [345],24h [346],24h [347],36h [348],36h [349],36h [350],Peripheral lesion [74],Peripheral lesion [75],Peripheral lesion [124],Sham operated [69],Sham operated [70],Sham operated [123],E12.5 [84],E12.5 [86],E12.5 [87],E17.5 [336],E17.5 [337],E17.5 [338]
Mfsd7a,11.6169,18.6899,7.05213,31.1702,28.7516,34.1539,14.7569,36.9122,29.9701,31.2623,10.8543,24.9238,37.1528,43.4185,37.004,23.6163,36.5518,29.8214,6.03836,4.49723,7.92997,11.8046,14.1084,25.4348
Mfsd7b,1046.24,952.088,1100.13,1831.25,1092.07,1142.11,1642.93,1526.14,1607.04,1376.62,1193.97,1324.66,875.413,714.736,740.658,613.039,591.409,655.497,327.169,332.795,286.921,426.276,585.498,469.387
Mfsd7c,12.3429,9.34497,21.1564,19.4814,14.1321,23.9078,22.1353,17.1378,28.3501,50.6665,6.20244,24.9238,41.0229,61.7879,50.8805,34.4404,42.4001,40.7177,35.6812,29.5532,41.0917,33.6648,24.6897,18.498
Mfsd8,145.937,161.613,222.142,198.71,165.2,174.185,182.001,181.046,224.371,241.474,147.308,147.697,170.284,192.044,171.722,160.394,171.794,207.029,103.75,110.503,105.973,137.283,208.099,191.917
Mfsd9,189.5,180.853,208.038,183.125,156.428,153.01,287.759,226.746,251.101,256.566,218.636,272.316,262.392,237.132,248.042,345.388,304.842,319.433,68.6177,84.1625,81.4624,220.352,176.355,228.913
Mga,2315.39,1927.81,2358.94,2388.42,1609.11,1818.36,1778.2,1823.64,2087.38,1692.48,1663.81,1403.12,1161.8,1347.64,1182.39,1046.99,1236.18,1227.84,2754.59,2564.71,2755.3,1747.07,2169.16,1611.64
Mgam,2.17816,3.84793,0,15.5851,3.89852,4.78155,2.45948,0.439431,8.10002,0,0,1.84621,2.32205,3.33989,3.46912,0.984012,3.65518,1.14698,1.09788,0.642461,3.60453,3.49765,3.52709,2.31225
Mgarp,35.5766,40.1284,17.6303,15.5851,11.2082,19.1262,17.2163,11.8646,8.91002,4.31204,31.0122,11.0773,3.09607,0,1.15637,2.95204,5.84829,1.14698,18.1151,19.9163,23.069,3.93485,3.52709,6.93675
Mgat1,707.176,687.13,564.17,713.019,935.644,1024.62,1013.31,1151.31,920.163,1060.76,1299.41,1133.57,922.628,955.208,982.341,885.611,905.754,865.394,907.4,854.474,932.132,719.641,687.784,876.343
Mgat2,1272.05,1079.62,1223.54,1324.73,1039.93,1090.19,1325.66,1234.36,1359.99,1522.15,1536.66,1576.66,1095.23,1010.32,986.966,1014.52,934.996,1003.03,806.395,801.149,919.876,837.249,980.532,1005.83
Mgat3,1829.66,1833.81,1699.56,826.011,1070.14,1288.97,1099.39,1070.01,1039.23,1333.5,1417.26,1425.27,3009.38,3577.02,2979.4,3581.8,3522.13,3828.61,1735.75,1939.59,1802.27,3260.24,2846.37,3336.58
Mgat4a,1597.32,1501.24,1837.08,880.559,740.231,946.747,450.085,553.244,602.642,480.792,457.43,543.709,684.231,973.577,909.489,1307.75,1361.19,1581.11,217.93,256.342,236.457,1493.49,1446.11,1408.16
Mgat4b,165.54,214.934,222.142,175.333,256.815,140.031,213.975,233.777,157.95,216.68,224.839,291.701,198.922,192.044,206.413,218.451,176.18,213.338,195.972,219.079,200.412,425.401,317.439,598.873
Mgat4c,64.6188,81.3562,81.0995,42.8591,45.3203,60.1109,27.0543,33.3968,38.0701,26.9502,66.6763,28.6162,111.458,73.4775,95.9791,93.4811,87.7244,96.9195,48.8558,66.1735,50.4634,117.171,172.828,120.237
Mgat5,78.4138,93.4497,88.1516,23.3777,66.7621,74.4556,71.3249,69.4301,63.1802,52.8225,57.3726,69.2329,147.063,101.867,138.187,162.362,137.435,155.989,153.155,165.755,124.717,87.8784,67.0148,73.992
Mgat5b,29.7682,18.6899,14.1043,23.3777,26.315,23.9078,63.9464,57.126,43.7401,73.3047,55.822,87.6949,60.3733,30.059,67.0697,28.5363,21.9311,32.6888,516.554,580.143,325.129,248.77,126.975,249.723
Mgea5,4465.23,4258.01,4883.6,5372.97,4365.37,4884.7,4067.98,3956.64,4702.87,4168.66,4202.15,3951.81,2980.74,3000.89,2763.74,2649.94,2686.56,2665.57,3766.84,3657.53,3259.94,2315.44,2648.85,2222.07
Mgl2,7.98659,2.19882,7.05213,7.79256,1.94926,4.78155,0,0.878862,1.62,1.07801,0,0,61.1473,73.4775,58.3969,41.3285,43.8622,28.1009,0,0,0,5.68367,3.52709,4.6245
Mgll,1459.37,1431.98,1177.71,783.152,1207.57,1229.54,482.058,620.477,534.601,465.7,486.892,510.477,1418.77,1491.26,1407.89,1686.6,1689.43,1713.01,69.7156,97.6541,145.623,1269.21,920.572,1334.17
Mgme1,176.431,143.473,133.99,124.681,135.961,125.686,120.514,126.117,127.98,144.453,175.219,137.543,123.069,133.595,137.03,144.65,137.435,146.813,221.772,199.163,244.387,146.901,169.301,110.988
Mgmt,3.63027,6.04675,10.5782,7.79256,10.7209,1.36616,4.91896,8.34919,7.29002,6.46806,34.1134,1.84621,12.3843,10.0197,17.9238,15.7442,14.6207,13.7637,15.3704,17.3465,21.6272,10.9301,14.1084,13.8735
Mgp,124.881,115.438,84.6255,109.096,172.022,109.976,179.542,224.989,121.5,176.794,218.636,108.926,325.087,387.427,726.782,255.843,267.559,287.318,8.23412,9.63692,55.5098,452.945,289.222,349.15
Mgrn1,461.77,490.886,423.128,354.561,552.128,590.18,496.815,576.534,487.621,640.338,665.212,623.096,628.502,629.569,607.097,670.112,674.016,669.261,890.383,952.128,965.294,935.183,733.636,987.331
Mgst1,196.761,168.209,260.929,389.628,268.51,218.585,518.95,535.666,552.422,514.211,431.07,515.092,147.837,222.102,156.689,188.93,170.332,150.827,141.078,136.202,132.647,116.297,165.773,97.1145
Mgst2,0,0,0,0,0,1.36616,0,0,2.43001,0,0,0.923105,0.774017,1.66994,0.578187,0,0,1.14698,0,1.28492,1.44181,0.874411,0,0
Mgst3,57.3583,96.1982,88.1516,23.3777,89.6659,72.4063,61.487,73.385,62.3702,57.1345,75.9799,47.0783,105.266,80.1573,129.514,187.946,211.27,187.531,49.9537,51.3969,49.7425,301.672,116.394,249.723
Mia,1.45211,2.74852,3.52606,0,3.4112,0.683079,0,2.19716,0.810002,3.23403,0,0.923105,0.774017,0,0.578187,0,2.92415,1.14698,0,3.85477,2.88363,0,3.52709,0
Mia2,68.2491,64.8651,102.256,89.6144,66.2748,88.8002,108.217,85.2496,131.22,77.6167,35.664,67.3866,17.8024,16.6994,8.67281,8.85611,7.31037,9.17581,0,0.642461,0.720906,0,0,0
Mia3,2609.44,2545.13,2514.08,3109.23,3038.89,3487.12,3539.19,3587.95,3800.53,3290.09,3122.93,3616.72,3348.4,2892.34,3093.3,1790.9,1822.47,1839.75,1413.52,1406.99,1534.09,1525.41,1382.62,1440.53
Miat,5739.46,7044.46,5024.64,7278.25,8323.34,10921.7,9370.61,9997.94,8855.75,12264.5,13515.1,12182.2,12838.6,12224,11536,7439.13,8788.52,8856.38,25158,25801.3,9561.38,6965.12,7939.49,9262.87
Mib1,262.105,395.237,504.227,432.487,421.04,323.779,418.111,351.984,404.191,294.297,241.895,376.627,188.86,208.743,182.707,175.154,171.063,200.721,425.979,443.941,338.105,274.565,257.478,284.407
Mib2,94.387,158.315,126.938,109.096,230.5,160.523,216.434,221.473,136.89,171.404,277.559,231.699,188.86,161.985,187.333,218.451,203.959,175.487,160.84,129.777,145.623,138.157,123.448,330.652
Mical1,425.468,486.488,401.971,342.873,454.177,362.032,452.544,415.262,378.271,482.948,583.03,493.861,436.546,450.885,560.264,426.077,397.684,432.984,189.385,163.828,191.761,301.672,218.68,270.533
Mical2,347.78,354.009,394.919,331.184,374.258,415.995,420.571,436.355,378.271,451.686,423.317,488.322,351.404,360.708,360.789,334.564,268.29,334.344,29.6428,30.8382,54.068,433.271,320.966,344.525
Mical3,1017.2,1046.64,768.682,927.314,1016.05,1041.69,1468.31,1369.71,1106.46,1535.09,1482.38,1406.81,1046.47,1077.11,1149.44,828.538,809.989,928.477,826.706,909.083,887.436,1335.66,1149.83,1290.24
Micalcl,9.4387,8.79527,14.1043,0,2.43657,12.2954,4.91896,5.27317,4.05001,4.31204,1.55061,7.38484,2.32205,6.67977,1.15637,4.92006,2.92415,8.60232,0.548941,1.28492,0.720906,4.37206,7.05419,0
Micall1,1729.46,1695.84,1399.85,2135.16,2528.68,2967.29,2912.02,3061.08,2724.85,2506.37,2727.52,2635.46,1808.88,1499.61,1509.07,684.872,723.726,742.094,1006.76,1245.09,1049.64,1321.67,1202.74,1345.73
Micall2,100.195,110.491,95.2037,105.2,167.149,150.96,250.867,295.298,240.571,429.048,618.694,552.94,106.04,95.1868,99.4482,73.8009,77.4899,73.98,79.0476,79.0228,100.927,143.403,116.394,152.609
